name,company,year,Price,kms_driven,fuel_type
Fiat Punto Active,Fiat,2007,"25,000","1,37,866 kms",Petrol
Ford Endeavour 4x4 AT,Ford,2008,"40,000","40,538 kms",Petrol
Jeep Compass Limited,Jeep,2015,"90,000","1,40,393 kms",Diesel
Mercedes E-Class E220d,Mercedes,2022,"19,36,000","1,29,916 kms",Petrol
Chevrolet Spark LT,Chevrolet,2017,"64,000","70,564 kms",Diesel
Mercedes E-Class E220d,Mercedes,2006,"6,71,000","20,900 kms",Petrol
Mercedes E-Class E220d,Mercedes,2013,"8,68,000","1,79,322 kms",Diesel
Jeep Compass Limited,Jeep,2010,"60,000","1,40,989 kms",Diesel
Jaguar XE Prestige,Jaguar,2022,"28,37,000","76,418 kms",Diesel
Toyota Fortuner 3.0 4x4 AT,Toyota,2016,"97,000","84,832 kms",Petrol
Volvo XC60 D5,Volvo,2015,"11,03,000","67,516 kms",Diesel
Nissan Sunny XL,Nissan,2004,"25,000","93,997 kms",Diesel
Datsun redi-GO T,Datsun,2018,"46,000","1,57,085 kms",Diesel
Hyundai Tucson 2WD AT GLS,Hyundai,2008,"28,000","92,102 kms",Petrol
Tata Indica V2 DLS,Tata,2004,"25,000","85,894 kms",Diesel
Volkswagen Vento Highline Diesel,Volkswagen,2006,"28,000","1,37,548 kms",Diesel
Tata Tiago Revotron XZ,Tata,2023,"93,000","1,57,439 kms",Petrol
Hyundai Tucson 2WD AT GLS,Hyundai,2022,"1,06,000","1,36,388 kms",Diesel
Mahindra Jeep CL550 MDI,Mahindra,2010,"68,000","2,225 kms",Diesel
Maruti Suzuki Swift Vdi,Maruti,2012,"55,000","57,555 kms",CNG
Jeep Compass Limited,Jeep,2014,"83,000","1,27,494 kms",Petrol
Volkswagen Jetta Comfortline TDI,Volkswagen,2002,"25,000","90,552 kms",Petrol
Hyundai Tucson 2WD AT GLS,Hyundai,2015,"61,000","1,27,123 kms",Diesel
Datsun GO Plus T,Datsun,2006,"25,000","1,30,063 kms",Petrol
Tata Nexon XZ Plus,Tata,2011,"27,000","1,63,691 kms",Petrol
Land Rover Discovery Sport,Land,2015,"11,82,000","1,16,609 kms",Petrol
Hyundai Elite i20 Magna 1.2,Hyundai,2004,"25,000","93,794 kms",Diesel
Mini Cooper S,Mini,2019,"15,62,000","64,561 kms",Petrol
Chevrolet Spark LT,Chevrolet,2004,"25,000","41,706 kms",Diesel
Volvo XC60 D5,Volvo,2014,"7,69,000","1,25,324 kms",Diesel
Audi Q7,Audi,2021,"31,51,000","5,965 kms",Diesel
Mitsubishi Pajero Sport 4x2,Mitsubishi,2021,"1,13,000","1,32,449 kms",Petrol
Mahindra Scorpio S10,Mahindra,2020,"94,000","1,77,725 kms",Petrol
Skoda Octavia Elegance 1.8 TSI,Skoda,2007,"34,000","88,980 kms",Petrol
Volkswagen Vento Highline Diesel,Volkswagen,2018,"78,000","1,76,513 kms",Petrol
Jaguar XF Portfolio,Jaguar,2010,"6,83,000","1,15,436 kms",Diesel
Chevrolet Beat LT,Chevrolet,2017,"83,000","5,013 kms",Diesel
Volkswagen Vento Highline Diesel,Volkswagen,2022,"1,57,000","80,294 kms",Petrol
Mercedes GLA 200d,Mercedes,2017,"21,79,000","26,798 kms",Diesel
Toyota Etios VXD,Toyota,2002,"25,000","1,52,736 kms",Diesel
Hyundai Venue SX,Hyundai,2014,"75,000","63,274 kms",Diesel
Nissan Terrano XL,Nissan,2016,"58,000","1,22,421 kms",Petrol
Ford EcoSport Titanium 1.5L TDCi,Ford,2012,"42,000","1,68,776 kms",Diesel
Skoda Octavia Elegance 1.8 TSI,Skoda,2010,"54,000","63,117 kms",Petrol
Land Rover Discovery Sport,Land,2006,"8,15,000","45,437 kms",Diesel
Jeep Compass Limited,Jeep,2014,"93,000","66,831 kms",Petrol
Mini Cooper D,Mini,2011,"9,06,000","25,064 kms",Diesel
Nissan Sunny XL,Nissan,2008,"25,000","1,62,517 kms",Diesel
Fiat Linea Active,Fiat,2013,"42,000","91,724 kms",Petrol
Mitsubishi Lancer 1.8 GLX,Mitsubishi,2017,"89,000","1,56,810 kms",Diesel
Jeep Compass Longitude,Jeep,2022,"1,55,000","1,07,260 kms",Diesel
Jeep Compass Limited,Jeep,2022,"1,70,000","1,67,944 kms",Petrol
Renault Kwid RXT,Renault,2022,"94,000","1,67,369 kms",Diesel
Audi A4 35 TDI,Audi,2010,"6,34,000","1,05,074 kms",Diesel
Mercedes GLA 200d,Mercedes,2020,"17,39,000","1,28,325 kms",Petrol
Nissan Terrano XL,Nissan,2012,"42,000","1,50,021 kms",Diesel
Tata Nexon XZ Plus,Tata,2011,"31,000","97,843 kms",Diesel
Tata Bolt XT,Tata,2014,"59,000","26,517 kms",Petrol
Jaguar XE Prestige,Jaguar,2023,"38,66,000","10,405 kms",Petrol
Datsun redi-GO T,Datsun,2020,"60,000","1,69,498 kms",Diesel
BMW X1 sDrive20d,BMW,2021,"24,33,000","46,787 kms",Diesel
Land Rover Freelander 2,Land,2005,"5,00,000","95,825 kms",Petrol
Mitsubishi Lancer 1.8 GLX,Mitsubishi,2016,"72,000","1,05,430 kms",Petrol
BMW 5 Series 520d,BMW,2009,"6,50,000","96,572 kms",Diesel
Hyundai Venue SX,Hyundai,2003,"25,000","1,19,232 kms",Petrol
Volkswagen Polo Highline 1.2L,Volkswagen,2008,"47,000","60,519 kms",Diesel
Volvo S60 D4,Volvo,2004,"3,48,000","71,430 kms",Petrol
Skoda Fabia Classic 1.2 MPI,Skoda,2017,"83,000","1,66,627 kms",Diesel
Datsun GO Plus T,Datsun,2009,"27,000","82,321 kms",Diesel
BMW 5 Series 520d,BMW,2004,"4,00,000","70,362 kms",Petrol
Jaguar XE Prestige,Jaguar,2023,"42,35,000","13,613 kms",Diesel
Nissan Terrano XL,Nissan,2015,Ask For Price,"95,718 kms",Petrol
Toyota Corolla Altis G,Toyota,2007,"31,000","1,75,576 kms",Diesel
Mitsubishi Lancer 1.8 GLX,Mitsubishi,2004,"37,000","37,190 kms",Diesel
Mahindra Scorpio S10,Mahindra,2023,"2,32,000","33,765 kms",Diesel
Volkswagen Vento Highline Diesel,Volkswagen,2012,"63,000","41,798 kms",Diesel
Mercedes GLA 200d,Mercedes,2019,"15,38,000","1,48,895 kms",Petrol
Skoda Rapid Elegance 1.6 MPI,Skoda,2012,"48,000","1,18,459 kms",Diesel
Nissan Terrano XL,Nissan,2008,"39,000","47,512 kms",Diesel
Skoda Fabia Classic 1.2 MPI,Skoda,2005,"25,000","1,36,617 kms",Petrol
Jaguar XF Portfolio,Jaguar,2004,"6,12,000","56,154 kms",Diesel
Maruti Suzuki Eeco 5 Seater,Maruti,2012,"54,000","37,949 kms",Petrol
Mini Cooper S,Mini,2020,"19,49,000","56,824 kms",Diesel
Jeep Compass Limited,Jeep,2005,"37,000","1,40,886 kms",Diesel
Volkswagen Jetta Comfortline TDI,Volkswagen,2023,"1,73,000","35,379 kms",Petrol
Jaguar XE Prestige,Jaguar,2008,"7,35,000","63,783 kms",Diesel
Ford EcoSport Titanium 1.5L TDCi,Ford,2007,"25,000","1,16,207 kms",Petrol
Maruti Suzuki Baleno Delta,Maruti,2002,"25,000","1,33,310 kms",CNG
Skoda Rapid Elegance 1.6 MPI,Skoda,2017,"1,37,000","12,213 kms",Petrol
Mercedes E-Class E220d,Mercedes,2005,"4,05,000","1,42,565 kms",Petrol
Volvo XC60 D5,Volvo,2002,"2,71,000","1,26,763 kms",Diesel
Mahindra KUV100 K8,Mahindra,2007,"46,000","24,691 kms",Diesel
Jeep Compass Limited,Jeep,2019,"1,97,000","13,030 kms",Diesel
Mitsubishi Pajero Sport 4x2,Mitsubishi,2003,"28,000","59,393 kms",Petrol
Chevrolet Tavera Neo 3,Chevrolet,2010,"25,000","1,61,255 kms",Diesel
Volvo S60 D4,Volvo,2014,"14,88,000","9,800 kms",Diesel
Renault Duster 110 PS RxL,Renault,2014,"64,000","65,681 kms",Petrol
Mercedes GLA 200d,Mercedes,2002,"3,78,000","60,253 kms",Diesel
Ford Fiesta Classic CLXi,Ford,2021,"85,000","1,18,229 kms",Petrol
Nissan Terrano XL,Nissan,2020,"1,20,000","26,272 kms",Petrol
Mitsubishi Lancer 1.8 GLX,Mitsubishi,2016,"1,27,000","2,924 kms",Diesel
Chevrolet Spark LT,Chevrolet,2004,"25,000","1,56,956 kms",Petrol
Honda Jazz V,Honda,2007,"27,000","1,05,358 kms",Petrol
Mitsubishi Pajero Sport 4x2,Mitsubishi,2019,"96,000","1,33,804 kms",Diesel
Maruti Suzuki Swift Dzire Vdi,Maruti,2021,"1,29,000","60,892 kms",Petrol
Renault Triber RXZ,Renault,2008,"25,000","1,78,998 kms",Petrol
Renault Triber RXZ,Renault,2004,"25,000","1,25,933 kms",Diesel
Mitsubishi Pajero Sport 4x2,Mitsubishi,2013,"93,000","32,112 kms",Petrol
Skoda Fabia Classic 1.2 MPI,Skoda,2004,"30,000","39,563 kms",Petrol
Nissan Terrano XL,Nissan,2022,Ask For Price,"1,52,905 kms",Diesel
Renault Triber RXZ,Renault,2021,"83,000","1,19,059 kms",Petrol
Mercedes GLA 200d,Mercedes,2002,"3,99,000","50,496 kms",Petrol
Hyundai Tucson 2WD AT GLS,Hyundai,2011,"57,000","19,423 kms",Petrol
Datsun GO T,Datsun,2012,"43,000","24,537 kms",Diesel
Mini Cooper D,Mini,2008,"5,48,000","62,770 kms",Diesel
Fiat Linea Active,Fiat,2014,"43,000","1,20,032 kms",Diesel
Hyundai Santro Xing XO eRLX Euro III,Hyundai,2014,"59,000","73,451 kms",Petrol
Mini Cooper D,Mini,2023,"17,55,000","1,66,567 kms",Petrol
Mercedes C-Class C220d,Mercedes,2003,"4,01,000","59,776 kms",Petrol
BMW X1 sDrive20d,BMW,2016,"13,92,000","87,480 kms",Diesel
Chevrolet Beat LT,Chevrolet,2002,"25,000","79,318 kms",Diesel
Mitsubishi Lancer 1.8 GLX,Mitsubishi,2016,"1,01,000","57,042 kms",Petrol
Datsun GO T,Datsun,2012,"34,000","75,993 kms",Petrol
Mitsubishi Lancer 1.8 GLX,Mitsubishi,2020,"1,33,000","78,453 kms",Diesel
Ford EcoSport Titanium 1.5L TDCi,Ford,2017,"65,000","1,51,129 kms",Diesel
Nissan Sunny XL,Nissan,2023,"1,16,000","92,137 kms",Diesel
Mitsubishi Lancer 1.8 GLX,Mitsubishi,2006,"46,000","43,725 kms",Diesel
Jeep Compass Limited,Jeep,2010,"55,000","1,78,436 kms",Petrol
Volvo XC60 D5,Volvo,2023,Ask For Price,"99,773 kms",Diesel
BMW 5 Series 520d,BMW,2020,"16,45,000","1,56,720 kms",Petrol
Land Rover Discovery Sport,Land,2004,"6,03,000","57,374 kms",Petrol
Mercedes C-Class C220d,Mercedes,2021,"19,70,000","1,16,192 kms",Diesel
Nissan Sunny XL,Nissan,2003,"25,000","1,71,608 kms",Petrol
BMW 3 Series 320d,BMW,2014,"12,31,000","58,511 kms",Diesel
Audi A4 35 TDI,Audi,2023,"34,66,000","22,486 kms",Petrol
Nissan Micra XV,Nissan,2006,"25,000","1,45,301 kms",Diesel
Hyundai i10 Sportz,Hyundai,2019,"73,000","1,71,321 kms",Petrol
Tata Tigor XZ,Tata,2009,"40,000","13,701 kms",Petrol
Renault Triber RXZ,Renault,2010,"34,000","99,474 kms",Petrol
Maruti Suzuki Ertiga VDI,Maruti,2020,Ask For Price,"67,887 kms",Petrol
Volvo XC60 D5,Volvo,2022,"24,74,000","34,313 kms",Petrol
Datsun redi-GO T,Datsun,2006,"25,000","1,57,068 kms",Diesel
Renault Lodgy 110PS RxZ 8 Str,Renault,2003,"30,000","8,752 kms",Diesel
Jeep Compass Limited,Jeep,2011,"63,000","1,39,484 kms",Diesel
Ford EcoSport Titanium 1.5L TDCi,Ford,2020,"80,000","1,65,709 kms",Petrol
Skoda Fabia Classic 1.2 MPI,Skoda,2018,"1,39,000","1,793 kms",Diesel
Skoda Fabia Classic 1.2 MPI,Skoda,2013,"57,000","87,399 kms",Petrol
BMW X1 sDrive20d,BMW,2018,Ask For Price,"1,67,227 kms",Diesel
Toyota Innova 2.5 G,Toyota,2009,"35,000","1,54,789 kms",Petrol
Mahindra TUV300 T8,Mahindra,2003,"36,000","24,487 kms",Petrol
Fiat Linea Active,Fiat,2015,"59,000","54,848 kms",Petrol
Jeep Compass Limited,Jeep,2007,"38,000","1,36,256 kms",Diesel
Mahindra Bolero SLE,Mahindra,2007,"34,000","81,289 kms",Petrol
Mitsubishi Pajero Sport 4x2,Mitsubishi,2017,"78,000","1,74,827 kms",Diesel
Maruti Suzuki Baleno Delta,Maruti,2008,Ask For Price,"48,007 kms",Petrol
Mahindra Jeep CL550 MDI,Mahindra,2007,"29,000","1,38,268 kms",Diesel
Honda City 1.5 S MT,Honda,2006,"27,000","1,78,647 kms",Petrol
Maruti Suzuki Swift Vdi,Maruti,2017,"69,000","94,695 kms",Diesel
Datsun redi-GO T,Datsun,2018,"49,000","1,30,723 kms",Petrol
Hyundai Creta 1.6 SX Option,Hyundai,2014,"54,000","1,08,903 kms",Petrol
Maruti Suzuki Swift Vdi,Maruti,2013,"63,000","44,957 kms",CNG
Volkswagen Ameo Highline 1.5,Volkswagen,2007,"52,000","13,417 kms",Petrol
Mercedes GLA 200d,Mercedes,2012,"8,59,000","76,739 kms",Petrol
Nissan Terrano XL,Nissan,2017,"92,000","37,261 kms",Petrol
Fiat Punto Active,Fiat,2015,"77,000","12,938 kms",Petrol
Volvo S60 D4,Volvo,2009,"7,86,000","35,379 kms",Diesel
Jaguar XF Portfolio,Jaguar,2018,"21,17,000","26,241 kms",Diesel
Ford Endeavour 4x4 AT,Ford,2015,Ask For Price,"1,30,215 kms",Diesel
Honda Jazz V,Honda,2004,"25,000","1,49,904 kms",Petrol
Honda Civic 1.8 V MT,Honda,2013,"72,000","33,216 kms",Petrol
Mitsubishi Lancer 1.8 GLX,Mitsubishi,2002,"26,000","70,525 kms",Petrol
Jeep Compass Longitude,Jeep,2020,"2,27,000","27,137 kms",Diesel
Nissan Sunny XL,Nissan,2005,"35,000","20,370 kms",Diesel
Mini Cooper D,Mini,2004,"3,85,000","74,135 kms",Petrol
Audi Q3 35 TDI,Audi,2016,"13,57,000","79,452 kms",Petrol
Toyota Corolla Altis G,Toyota,2019,"1,01,000","1,22,716 kms",Petrol
Honda Jazz V,Honda,2021,"1,81,000","21,000 kms",Petrol
Mini Cooper D,Mini,2016,"12,64,000","61,870 kms",Diesel
Toyota Corolla Altis G,Toyota,2011,"66,000","50,240 kms",Diesel
Skoda Octavia Elegance 1.8 TSI,Skoda,2016,"62,000","1,36,124 kms",Diesel
Datsun redi-GO T,Datsun,2017,"79,000","29,019 kms",Diesel
Skoda Fabia Classic 1.2 MPI,Skoda,2018,"84,000","1,77,400 kms",Petrol
Mitsubishi Pajero Sport 4x2,Mitsubishi,2009,"49,000","70,934 kms",Petrol
Mercedes GLA 200d,Mercedes,2015,"17,66,000","13,355 kms",Petrol
Maruti Suzuki Ciaz VDi,Maruti,2004,"25,000","1,09,925 kms",Diesel
Honda Jazz V,Honda,2007,"32,000","1,06,403 kms",Diesel
Honda Amaze S i-Dtech,Honda,2013,"71,000","68,702 kms",Petrol
Volvo S60 D4,Volvo,2003,"2,88,000","1,56,189 kms",Petrol
Mini Cooper S,Mini,2005,"2,85,000","1,78,035 kms",Diesel
Land Rover Freelander 2,Land,2016,"17,30,000","48,425 kms",Petrol
Volkswagen Jetta Comfortline TDI,Volkswagen,2012,"49,000","1,10,489 kms",Petrol
Jeep Compass Limited,Jeep,2006,"33,000","1,60,106 kms",Petrol
Jeep Compass Limited,Jeep,2016,"1,03,000","80,361 kms",Petrol
Renault Triber RXZ,Renault,2021,"98,000","1,09,481 kms",Diesel
Mercedes C-Class C220d,Mercedes,2013,"11,58,000","65,425 kms",Petrol
Toyota Yaris VX,Toyota,2011,Ask For Price,"1,21,989 kms",Petrol
Tata Nano Lx,Tata,2021,"79,000","1,47,626 kms",Petrol
Mini Cooper S,Mini,2015,"9,74,000","78,904 kms",Diesel
Mini Cooper D,Mini,2011,"8,46,000","38,281 kms",Diesel
Land Rover Discovery Sport,Land,2012,"11,54,000","68,207 kms",Petrol
Mini Cooper S,Mini,2005,"3,36,000","1,05,102 kms",Diesel
Hyundai i10 Sportz,Hyundai,2016,"76,000","95,437 kms",Diesel
Tata Tiago Revotron XZ,Tata,2009,"27,000","1,79,382 kms",Diesel
Tata Tigor XZ,Tata,2023,"1,00,000","1,54,755 kms",Petrol
Toyota Glanza G,Toyota,2017,"78,000","1,46,359 kms",Petrol
Jeep Compass Longitude,Jeep,2009,"70,000","64,659 kms",Petrol
Chevrolet Spark LT,Chevrolet,2022,"66,000","1,78,151 kms",Petrol
BMW 5 Series 520d,BMW,2005,"5,09,000","46,948 kms",Petrol
Volkswagen Polo Highline 1.2L,Volkswagen,2022,"1,11,000","1,49,536 kms",Diesel
Toyota Innova 2.5 G,Toyota,2009,"50,000","60,432 kms",Diesel
Datsun GO T,Datsun,2006,"25,000","65,252 kms",Petrol
Mercedes GLA 200d,Mercedes,2004,"3,89,000","95,949 kms",Diesel
Hyundai Tucson 2WD AT GLS,Hyundai,2010,"31,000","1,66,312 kms",Petrol
Mini Cooper D,Mini,2012,"5,78,000","1,03,193 kms",Diesel
Toyota Corolla Altis G,Toyota,2013,"89,000","23,064 kms",Petrol
Hyundai Venue SX,Hyundai,2018,"1,27,000","19,857 kms",Petrol
Nissan Micra XV,Nissan,2013,"58,000","58,614 kms",Diesel
Mahindra TUV300 T8,Mahindra,2005,"28,000","87,441 kms",Petrol
Nissan Sunny XL,Nissan,2005,"25,000","1,02,947 kms",Diesel
Jeep Compass Longitude,Jeep,2010,"47,000","1,07,468 kms",Petrol
Ford Fiesta Classic CLXi,Ford,2015,"86,000","35,260 kms",Petrol
Jaguar XF Portfolio,Jaguar,2015,"13,83,000","62,345 kms",Diesel
Maruti Suzuki Vitara Brezza ZDi,Maruti,2015,"78,000","19,277 kms",Diesel
Chevrolet Tavera Neo 3,Chevrolet,2018,"62,000","94,078 kms",Diesel
Mahindra Bolero SLE,Mahindra,2008,"35,000","1,79,888 kms",Diesel
Jeep Compass Longitude,Jeep,2020,"2,05,000","10,046 kms",Petrol
BMW X1 sDrive20d,BMW,2005,"6,40,000","13,221 kms",Petrol
Jeep Compass Longitude,Jeep,2019,"1,07,000","1,55,786 kms",Petrol
Datsun GO Plus T,Datsun,2005,"25,000","1,01,254 kms",Petrol
Jeep Compass Limited,Jeep,2019,"1,39,000","92,457 kms",Petrol
BMW X1 sDrive20d,BMW,2003,"3,59,000","91,986 kms",Petrol
Datsun GO Plus T,Datsun,2019,"81,000","42,124 kms",Diesel
Maruti Suzuki Vitara Brezza ZDi,Maruti,2006,"25,000","1,28,098 kms",Petrol
Fiat Punto Active,Fiat,2023,"91,000","1,75,412 kms",Diesel
Audi A6 2.0 TDI,Audi,2013,"6,96,000","1,10,193 kms",Diesel
Land Rover Freelander 2,Land,2019,"23,84,000","58,281 kms",Petrol
Jeep Compass Limited,Jeep,2005,"32,000","1,68,276 kms",Diesel
Fiat Punto Active,Fiat,2015,"39,000","1,21,066 kms",Petrol
Mitsubishi Pajero Sport 4x2,Mitsubishi,2015,"74,000","99,431 kms",Diesel
Fiat Linea Active,Fiat,2017,"79,000","26,570 kms",Petrol
Hyundai Verna 1.6 SX,Hyundai,2023,"1,27,000","1,59,383 kms",Diesel
Skoda Fabia Classic 1.2 MPI,Skoda,2004,"25,000","1,32,163 kms",Petrol
Tata Bolt XT,Tata,2006,"31,000","4,361 kms",Petrol
Nissan Sunny XL,Nissan,2012,"53,000","56,179 kms",Petrol
Mercedes C-Class C220d,Mercedes,2002,"2,58,000","1,77,573 kms",Petrol
Fiat Linea Active,Fiat,2005,"25,000","1,55,263 kms",Petrol
Skoda Octavia Elegance 1.8 TSI,Skoda,2017,"63,000","1,76,600 kms",Petrol
Volkswagen Polo Highline 1.2L,Volkswagen,2006,Ask For Price,"98,390 kms",Diesel
Hyundai Verna 1.6 SX,Hyundai,2011,"36,000","1,54,726 kms",Petrol
Hyundai Tucson 2WD AT GLS,Hyundai,2020,"86,000","1,44,426 kms",Petrol
Mini Cooper D,Mini,2009,"4,15,000","1,36,527 kms",Diesel
Datsun GO T,Datsun,2002,"25,000","53,104 kms",Diesel
Jaguar XE Prestige,Jaguar,2002,"5,20,000","7,940 kms",Petrol
Volvo XC60 D5,Volvo,2021,"20,65,000","59,351 kms",Petrol
Volkswagen Polo Highline 1.2L,Volkswagen,2016,"65,000","1,49,034 kms",Diesel
Datsun GO T,Datsun,2018,"51,000","1,62,418 kms",Diesel
Jeep Compass Limited,Jeep,2007,"57,000","38,182 kms",Diesel
Mini Cooper D,Mini,2003,"4,05,000","1,195 kms",Petrol
Renault Triber RXZ,Renault,2003,"25,000","97,691 kms",Diesel
Ford Figo,Ford,2013,"77,000","20,760 kms",Diesel
Volkswagen Polo Highline 1.2L,Volkswagen,2018,"83,000","1,64,997 kms",Petrol
Maruti Suzuki Celerio VXI,Maruti,2004,"25,000","1,08,317 kms",CNG
Ford Freestyle Titanium,Ford,2007,"35,000","57,118 kms",Petrol
Volkswagen Jetta Comfortline TDI,Volkswagen,2022,"1,16,000","1,61,111 kms",Petrol
Tata Nexon XZ Plus,Tata,2004,"25,000","85,659 kms",Petrol
Fiat Linea Active,Fiat,2011,"31,000","79,511 kms",Petrol
Volkswagen Vento Highline Diesel,Volkswagen,2010,"36,000","1,40,790 kms",Diesel
Audi A6 2.0 TDI,Audi,2016,"16,61,000","20,235 kms",Diesel
Mahindra Scorpio SLE BS IV,Mahindra,2019,"1,45,000","8,374 kms",Petrol
Mini Cooper S,Mini,2010,"7,85,000","31,956 kms",Petrol
Datsun GO T,Datsun,2002,"25,000","69,225 kms",Diesel
Jeep Compass Longitude,Jeep,2005,"34,000","1,52,185 kms",Petrol
Datsun GO Plus T,Datsun,2023,"82,000","1,57,189 kms",Petrol
BMW X1 sDrive20d,BMW,2019,"12,90,000","1,75,495 kms",Petrol
Renault Triber RXZ,Renault,2004,"25,000","73,737 kms",Petrol
Ford EcoSport Titanium 1.5L TDCi,Ford,2019,"74,000","1,66,165 kms",Petrol
Chevrolet Beat LT,Chevrolet,2009,"36,000","41,144 kms",Diesel
Mitsubishi Pajero Sport 4x2,Mitsubishi,2011,"51,000","81,841 kms",Diesel
Maruti Suzuki Ciaz VDi,Maruti,2010,"52,000","12,621 kms",CNG
Jeep Compass Limited,Jeep,2018,"1,37,000","55,852 kms",Petrol
Nissan Sunny XL,Nissan,2010,"34,000","82,597 kms",Diesel
Audi Q3 35 TDI,Audi,2023,"21,25,000","1,23,935 kms",Diesel
Volkswagen Polo Highline 1.2L,Volkswagen,2009,"47,000","56,407 kms",Diesel
Mitsubishi Lancer 1.8 GLX,Mitsubishi,2002,"25,000","1,58,505 kms",Petrol
Renault Lodgy 110PS RxZ 8 Str,Renault,2021,"97,000","75,841 kms",Petrol
Skoda Fabia Classic 1.2 MPI,Skoda,2002,"25,000","1,01,106 kms",Petrol
Audi Q3 35 TDI,Audi,2009,"8,24,000","17,235 kms",Petrol
Datsun GO T,Datsun,2004,"25,000","1,79,785 kms",Petrol
Volvo XC60 D5,Volvo,2022,"19,93,000","87,207 kms",Diesel
Chevrolet Spark LT,Chevrolet,2014,Ask For Price,"9,917 kms",Diesel
Volkswagen Jetta Comfortline TDI,Volkswagen,2011,"42,000","1,36,691 kms",Diesel
Fiat Linea Active,Fiat,2022,"84,000","1,66,862 kms",Diesel
Audi A4 35 TDI,Audi,2022,Ask For Price,"64,707 kms",Diesel
Hyundai Venue SX,Hyundai,2016,"1,04,000","1,129 kms",Petrol
Renault Lodgy 110PS RxZ 8 Str,Renault,2012,"38,000","1,50,602 kms",Diesel
Hyundai Venue SX,Hyundai,2018,"1,26,000","27,169 kms",Petrol
Ford Endeavour 4x4 AT,Ford,2015,Ask For Price,"13,750 kms",Petrol
Mahindra Bolero SLE,Mahindra,2011,"62,000","77,098 kms",Diesel
Chevrolet Tavera Neo 3,Chevrolet,2016,"51,000","73,321 kms",Petrol
Jeep Compass Limited,Jeep,2023,"2,05,000","1,48,118 kms",Diesel
Nissan Micra XV,Nissan,2009,"27,000","1,48,879 kms",Petrol
Tata Tigor XZ,Tata,2009,"31,000","94,522 kms",Petrol
Hyundai Creta 1.6 SX Option,Hyundai,2021,"91,000","1,53,628 kms",Petrol
Nissan Micra XV,Nissan,2014,"75,000","29,373 kms",Diesel
Ford Figo Aspire Titanium,Ford,2008,"31,000","1,48,978 kms",Diesel
Honda Jazz V,Honda,2018,"86,000","1,29,942 kms",Petrol
Fiat Linea Active,Fiat,2018,"70,000","98,696 kms",Diesel
Volvo S60 D4,Volvo,2017,"10,88,000","1,72,814 kms",Diesel
Volkswagen Polo Highline 1.2L,Volkswagen,2009,"46,000","71,791 kms",Petrol
Mercedes GLA 200d,Mercedes,2014,"8,72,000","1,15,526 kms",Petrol
Fiat Punto Active,Fiat,2017,"71,000","60,129 kms",Diesel
Land Rover Freelander 2,Land,2014,"14,52,000","35,816 kms",Diesel
Mitsubishi Pajero Sport 4x2,Mitsubishi,2013,"71,000","69,036 kms",Diesel
Mitsubishi Lancer 1.8 GLX,Mitsubishi,2002,"34,000","26,740 kms",Diesel
Chevrolet Sail UVA LS,Chevrolet,2017,"85,000","1,385 kms",Petrol
Jaguar XE Prestige,Jaguar,2017,"21,33,000","26,067 kms",Diesel
Honda Jazz V,Honda,2012,"67,000","33,167 kms",Petrol
Toyota Fortuner 3.0 4x4 AT,Toyota,2003,"41,000","1,958 kms",Petrol
Ford Fiesta Classic CLXi,Ford,2003,"29,000","21,900 kms",Diesel
Mitsubishi Lancer 1.8 GLX,Mitsubishi,2008,"38,000","1,47,385 kms",Diesel
Volvo S60 D4,Volvo,2006,"5,27,000","23,095 kms",Petrol
Fiat Punto Active,Fiat,2022,"1,26,000","50,750 kms",Diesel
Mitsubishi Pajero Sport 4x2,Mitsubishi,2023,"1,44,000","1,47,079 kms",Diesel
Tata Indica V2 DLS,Tata,2003,"25,000","69,226 kms",Diesel
Audi A6 2.0 TDI,Audi,2022,"20,73,000","1,08,284 kms",Diesel
Mahindra Scorpio S10,Mahindra,2006,"45,000","18,927 kms",Petrol
Maruti Suzuki Ertiga VDI,Maruti,2008,"45,000","21,493 kms",CNG
Datsun GO T,Datsun,2022,"74,000","1,65,170 kms",Petrol
BMW 5 Series 520d,BMW,2005,"3,91,000","1,64,671 kms",Diesel
Tata Tiago Revotron XZ,Tata,2022,"84,000","1,59,873 kms",Petrol
Volkswagen Polo Highline 1.2L,Volkswagen,2009,"55,000","38,724 kms",Petrol
Land Rover Freelander 2,Land,2023,"33,14,000","47,203 kms",Diesel
Honda Brio S MT,Honda,2014,"49,000","1,19,169 kms",Petrol
Renault Lodgy 110PS RxZ 8 Str,Renault,2020,"1,13,000","68,267 kms",Diesel
Toyota Corolla Altis G,Toyota,2007,"36,000","1,61,292 kms",Diesel
Jaguar XF Portfolio,Jaguar,2009,"6,72,000","1,65,196 kms",Diesel
BMW X1 sDrive20d,BMW,2005,"5,53,000","30,547 kms",Petrol
Renault Duster 110 PS RxL,Renault,2015,"64,000","67,603 kms",Petrol
Chevrolet Tavera Neo 3,Chevrolet,2017,"77,000","22,427 kms",Diesel
Jaguar XE Prestige,Jaguar,2022,"23,55,000","1,01,983 kms",Petrol
Volvo S60 D4,Volvo,2007,Ask For Price,"93,509 kms",Petrol
Volkswagen Jetta Comfortline TDI,Volkswagen,2009,"30,000","1,22,773 kms",Petrol
Datsun redi-GO T,Datsun,2002,"25,000","56,818 kms",Petrol
Mahindra Jeep CL550 MDI,Mahindra,2007,"29,000","1,63,281 kms",Diesel
